dataset,method,seed,robust_mode,dropout_rate,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,map@10,log_file,status
baby,MDR_drop_text,999,normal,,0.0649,0.1013,0.1689,0.0357,0.0451,0.0588,0.0071,0.026,SMORE_baby_MDR_seed999_drop_text.log,ok
baby,MDR_noise_both,999,normal,,0.0657,0.1019,0.1699,0.0361,0.0454,0.0592,0.0072,0.0263,SMORE_baby_MDR_seed999_noise_both.log,ok
baby,MDR_noise_image,999,normal,,0.0657,0.1022,0.1703,0.0361,0.0455,0.0592,0.0072,0.0263,SMORE_baby_MDR_seed999_noise_image.log,ok
baby,MDR_noise_text,999,normal,,0.0658,0.1022,0.1702,0.0362,0.0454,0.0592,0.0072,0.0263,SMORE_baby_MDR_seed999_noise_text.log,ok
baby,MDR,999,normal,,0.0658,0.1023,0.17,0.0361,0.0455,0.0592,0.0072,0.0262,SMORE_baby_MDR_seed999_normal.log,ok
baby,baseline_drop_image,2024,normal,,0.0659,0.1015,0.1648,0.0353,0.0445,0.0573,0.0073,0.0252,SMORE_baby_baseline_seed2024_drop_image.log,ok
baby,baseline_drop_text,2024,normal,,0.0654,0.1003,0.1642,0.0352,0.0442,0.0571,0.0073,0.0252,SMORE_baby_baseline_seed2024_drop_text.log,ok
baby,baseline_noise_both,2024,normal,,0.0661,0.1008,0.1649,0.0358,0.0447,0.0577,0.0073,0.0257,SMORE_baby_baseline_seed2024_noise_both.log,ok
baby,baseline_noise_image,2024,normal,,0.066,0.1011,0.1666,0.0359,0.0449,0.0582,0.0073,0.0259,SMORE_baby_baseline_seed2024_noise_image.log,ok
baby,baseline_noise_text,2024,normal,,0.066,0.1005,0.1655,0.0358,0.0447,0.0579,0.0073,0.0258,SMORE_baby_baseline_seed2024_noise_text.log,ok
baby,baseline,2024,normal,,0.0658,0.1007,0.165,0.0357,0.0447,0.0577,0.0073,0.0257,SMORE_baby_baseline_seed2024_normal.log,ok
baby,baseline_drop_image,42,normal,,0.0621,0.0969,0.1665,0.0338,0.0427,0.0568,0.0068,0.0244,SMORE_baby_baseline_seed42_drop_image.log,ok
baby,baseline_drop_text,42,normal,,0.062,0.097,0.1664,0.0337,0.0426,0.0567,0.0068,0.0242,SMORE_baby_baseline_seed42_drop_text.log,ok
baby,baseline_noise_both,42,normal,,0.0624,0.0982,0.1663,0.0342,0.0433,0.0572,0.0069,0.0247,SMORE_baby_baseline_seed42_noise_both.log,ok
baby,baseline_noise_image,42,normal,,0.063,0.0968,0.1615,0.0344,0.0432,0.0563,0.0069,0.0249,SMORE_baby_baseline_seed42_noise_image.log,ok
baby,baseline_noise_text,42,normal,,0.0622,0.0971,0.1604,0.0341,0.0431,0.056,0.0069,0.0247,SMORE_baby_baseline_seed42_noise_text.log,ok
baby,baseline,42,normal,,0.0627,0.0972,0.1614,0.0343,0.0433,0.0563,0.0069,0.0248,SMORE_baby_baseline_seed42_normal.log,ok
baby,baseline_drop_image,999,normal,,0.0652,0.1003,0.1687,0.0355,0.0446,0.0585,0.0072,0.0256,SMORE_baby_baseline_seed999_drop_image.log,ok
baby,baseline_drop_text,999,normal,,0.0658,0.102,0.1675,0.036,0.0453,0.0586,0.0072,0.0261,SMORE_baby_baseline_seed999_drop_text.log,ok
baby,baseline_noise_both,999,normal,,0.066,0.1014,0.1686,0.036,0.0451,0.0587,0.0072,0.026,SMORE_baby_baseline_seed999_noise_both.log,ok
baby,baseline_noise_image,999,normal,,0.0659,0.1022,0.1689,0.036,0.0453,0.0588,0.0072,0.026,SMORE_baby_baseline_seed999_noise_image.log,ok
baby,baseline_noise_text,999,normal,,0.0659,0.1022,0.1683,0.036,0.0453,0.0587,0.0072,0.026,SMORE_baby_baseline_seed999_noise_text.log,ok
baby,baseline,999,normal,,0.0658,0.1023,0.1686,0.036,0.0453,0.0588,0.0072,0.026,SMORE_baby_baseline_seed999_normal.log,ok
clothing,FBG+MDR_drop_image,2024,normal,,0.067,0.0986,0.1486,0.0366,0.0446,0.0546,0.0069,0.027,SMORE_clothing_FBG+MDR_seed2024_drop_image.log,ok
clothing,FBG+MDR_drop_text,2024,normal,,0.0667,0.0978,0.1489,0.0362,0.0441,0.0543,0.0069,0.0266,SMORE_clothing_FBG+MDR_seed2024_drop_text.log,ok
clothing,FBG+MDR_noise_both,2024,normal,,0.0678,0.0984,0.15,0.0366,0.0444,0.0547,0.007,0.0269,SMORE_clothing_FBG+MDR_seed2024_noise_both.log,ok
clothing,FBG+MDR_noise_image,2024,normal,,0.0679,0.0981,0.1506,0.0367,0.0444,0.0548,0.007,0.0269,SMORE_clothing_FBG+MDR_seed2024_noise_image.log,ok
clothing,FBG+MDR_noise_text,2024,normal,,0.0676,0.0983,0.1498,0.0366,0.0444,0.0547,0.007,0.0269,SMORE_clothing_FBG+MDR_seed2024_noise_text.log,ok
clothing,FBG+MDR,2024,normal,,0.068,0.0984,0.15,0.0367,0.0444,0.0547,0.007,0.0269,SMORE_clothing_FBG+MDR_seed2024_normal.log,ok
clothing,FBG+MDR_drop_image,42,normal,,0.0667,0.0972,0.1505,0.0362,0.044,0.0546,0.0069,0.0267,SMORE_clothing_FBG+MDR_seed42_drop_image.log,ok
clothing,FBG+MDR_drop_text,42,normal,,0.0663,0.0974,0.1499,0.036,0.0439,0.0544,0.0069,0.0265,SMORE_clothing_FBG+MDR_seed42_drop_text.log,ok
clothing,FBG+MDR_noise_both,42,normal,,0.0656,0.0974,0.1496,0.0355,0.0436,0.054,0.0068,0.0261,SMORE_clothing_FBG+MDR_seed42_noise_both.log,ok
clothing,FBG+MDR_noise_image,42,normal,,0.0656,0.0969,0.1507,0.0358,0.0438,0.0546,0.0068,0.0265,SMORE_clothing_FBG+MDR_seed42_noise_image.log,ok
clothing,FBG+MDR_noise_text,42,normal,,0.0659,0.0969,0.1501,0.0359,0.0438,0.0544,0.0068,0.0265,SMORE_clothing_FBG+MDR_seed42_noise_text.log,ok
clothing,FBG+MDR,42,normal,,0.0657,0.0966,0.1501,0.0359,0.0438,0.0545,0.0068,0.0266,SMORE_clothing_FBG+MDR_seed42_normal.log,ok
clothing,FBG+MDR_drop_image,999,normal,,0.0669,0.0986,0.1507,0.0368,0.0448,0.0552,0.007,0.0273,SMORE_clothing_FBG+MDR_seed999_drop_image.log,ok
clothing,FBG+MDR_drop_text,999,normal,,0.0668,0.0988,0.151,0.0366,0.0447,0.0552,0.007,0.0271,SMORE_clothing_FBG+MDR_seed999_drop_text.log,ok
clothing,FBG+MDR_noise_both,999,normal,,0.0664,0.0987,0.1527,0.0364,0.0446,0.0554,0.0069,0.0269,SMORE_clothing_FBG+MDR_seed999_noise_both.log,ok
clothing,FBG+MDR_noise_image,999,normal,,0.0665,0.0989,0.1503,0.0364,0.0446,0.0549,0.0069,0.0269,SMORE_clothing_FBG+MDR_seed999_noise_image.log,ok
clothing,FBG+MDR_noise_text,999,normal,,0.0666,0.0988,0.1506,0.0363,0.0445,0.0549,0.0069,0.0268,SMORE_clothing_FBG+MDR_seed999_noise_text.log,ok
clothing,FBG+MDR,999,normal,,0.0666,0.0987,0.1507,0.0364,0.0446,0.055,0.0069,0.0269,SMORE_clothing_FBG+MDR_seed999_normal.log,ok
clothing,MDR_drop_image,2024,normal,,0.067,0.0974,0.1492,0.0364,0.0441,0.0545,0.007,0.0268,SMORE_clothing_MDR_seed2024_drop_image.log,ok
clothing,MDR_drop_text,2024,normal,,0.0672,0.0976,0.1493,0.0364,0.0442,0.0545,0.007,0.0268,SMORE_clothing_MDR_seed2024_drop_text.log,ok
clothing,MDR_noise_both,2024,normal,,0.0678,0.0985,0.1501,0.0368,0.0446,0.0549,0.007,0.027,SMORE_clothing_MDR_seed2024_noise_both.log,ok
clothing,MDR_noise_image,2024,normal,,0.0678,0.099,0.1505,0.0369,0.0448,0.0551,0.007,0.0272,SMORE_clothing_MDR_seed2024_noise_image.log,ok
clothing,MDR_noise_text,2024,normal,,0.0679,0.0988,0.1503,0.0369,0.0448,0.055,0.007,0.0272,SMORE_clothing_MDR_seed2024_noise_text.log,ok
clothing,MDR,2024,normal,,0.0677,0.0988,0.1507,0.0368,0.0447,0.055,0.007,0.0271,SMORE_clothing_MDR_seed2024_normal.log,ok
clothing,MDR_drop_image,42,normal,,0.0659,0.0972,0.1499,0.0359,0.0439,0.0545,0.0068,0.0265,SMORE_clothing_MDR_seed42_drop_image.log,ok
clothing,MDR_drop_text,42,normal,,0.0659,0.0973,0.1501,0.036,0.044,0.0546,0.0068,0.0267,SMORE_clothing_MDR_seed42_drop_text.log,ok
clothing,MDR_noise_both,42,normal,,0.0651,0.0973,0.1514,0.0357,0.0439,0.0547,0.0068,0.0264,SMORE_clothing_MDR_seed42_noise_both.log,ok
clothing,MDR_noise_image,42,normal,,0.0656,0.0975,0.1506,0.0359,0.044,0.0546,0.0068,0.0265,SMORE_clothing_MDR_seed42_noise_image.log,ok
clothing,MDR_noise_text,42,normal,,0.0657,0.0974,0.1514,0.0359,0.044,0.0547,0.0068,0.0265,SMORE_clothing_MDR_seed42_noise_text.log,ok
clothing,MDR,42,normal,,0.0658,0.0976,0.1509,0.0359,0.044,0.0546,0.0068,0.0265,SMORE_clothing_MDR_seed42_normal.log,ok
clothing,MDR_drop_image,999,normal,,0.0671,0.0989,0.1507,0.0366,0.0446,0.055,0.007,0.027,SMORE_clothing_MDR_seed999_drop_image.log,ok
clothing,MDR_drop_text,999,normal,,0.0664,0.0982,0.1501,0.0362,0.0443,0.0547,0.0069,0.0267,SMORE_clothing_MDR_seed999_drop_text.log,ok
clothing,MDR_noise_both,999,normal,,0.0666,0.0988,0.1523,0.0365,0.0446,0.0553,0.0069,0.027,SMORE_clothing_MDR_seed999_noise_both.log,ok
clothing,MDR_noise_image,999,normal,,0.0666,0.0991,0.1519,0.0365,0.0448,0.0553,0.0069,0.027,SMORE_clothing_MDR_seed999_noise_image.log,ok
clothing,MDR_noise_text,999,normal,,0.0663,0.0994,0.1519,0.0365,0.0449,0.0554,0.0069,0.0271,SMORE_clothing_MDR_seed999_noise_text.log,ok
clothing,MDR,999,normal,,0.0665,0.0991,0.1509,0.0363,0.0446,0.055,0.0069,0.0268,SMORE_clothing_MDR_seed999_normal.log,ok
clothing,baseline_drop_image,2024,normal,,0.0671,0.0976,0.1493,0.0363,0.044,0.0543,0.007,0.0266,SMORE_clothing_baseline_seed2024_drop_image.log,ok
